Date,Time ,Bout,Video Sequence,Video ID,Pdog ID,Sex,Numerical Category code,Numerical Category,Ethogram Tag,Prairie Dog Behavior,Numerical Category code (snakes),Numerical Category,Ethogram Tag,Snake Behavior,Time stamp,* Curiosities,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible in video; JLV recorded on burrow,0:43,,
,,,,,,,,,NA,Out of film view ,,,NA,No snake visible in video; JLV recorded on burrow,0:48,Female prairie dog posting nearby observing,
,,,,,,,,,,,,,1,Moving; head not visible,0:53,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,2,Moving + tongue flickering,0:56,,
,,,,,,,,12,Escorting,Walking alongside snake,,,2,Moving + tongue flickering,0:57,,
,,,,,,,,19,Head to Head,Facing snake head,,,3,Moving + raises head + tongue flickering,1:01,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,4,Snake lifts head,1:01,,
,,,,,,,,12,Escorting,Parallel to snake walking ahead,,,1,Moving,1:02,,
,,,,,,,,2,Jump yip,Small jump-yip,,,NA,No snake visible,1:05,,
,,,,,,,,2,Jump yip,Jump yip,,,1,Moving,1:06,,
,,,,,,,,3,Approach,Approaching snake head,,,1,Moving,1:08,Snake slows down,
,,,,,,,,10,Retreat,Startled retreat,,,5,Head raise + head oriented toward dog,1:09,Snake raised partially head off ground,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,5,Head raise + head oriented toward dog,1:10,Snake raised partially head off ground,
,,,,,,,,,,,,,2,Moving + tongue flickering,1:13,,
,,,,,,,,4,Scratching ,Scratch ,,,2,Moving + tongue flickering,1:16,,
,,,,,,,,10,Retreat,Retreat,,,2,Moving + tongue flickering,1:18,,
,,,,,,,,4,Scratching ,Scratch ,,,2,Moving + tongue flickering,1:20,,
,,,,,,,,19,Head to Head,Facing snake head,,,2,Moving + tongue flickering,1:23,Other prairie dog visible posting next to focal prairie dog,
,,,,,,,,6,Rocking  ,Forward-back rocking,,,2,Moving + tongue flickering,1:23,Other prairie dog visible posting next to focal prairie dog,
,,,,,,,,21,Observing,Watching snake move past,,,2,Moving + tongue flickering,1:26,Other prairie dog visible posting next to focal prairie dog,
,,,,,,,,3,Approach,Approaching snake body,,,6,Head raise + head oriented toward dog + tongue flickering,1:28,,
,,,,,,,,7,Sniffing ,Sniffing,,,,,1:30,Tail up,
,,,,,,,,2,Jump yip,Jump Yip,,,,,1:31,,
,,,,,,,,,,,,,2,Moving + tongue flickering,1:32,,
,,,,,,,,3,Approach,Approaching snake head,,,2,Moving + tongue flickering,1:34,,
,,,,,,,,6,Rocking,Forward-back rocking,,,2,Moving + tongue flickering,1:36,,
,,,,,,,,4,Scratching ,Scratch ,,,,,1:40,Snake head moving past,
,,,,,,,,4,Scratching ,Scratch ,,,6,Head raise + head oriented toward dog + tongue flickering,1:42,,
,,,,,,,,,,,,,2,Moving + tongue flickering,1:43,,
,,,,,,,,12,Escorting,Walking alongside snake,,,2,Moving + tongue flickering,1:44,,
,,,,,,,,2,Jump yip,Jump yip,,,2,Moving + tongue flickering,1:45,,
,,,,,,,,3,Approach,Approaching snake head,,,2,Moving + tongue flickering,1:48,,
,,,,,,,,12,Escorting,Walking alongside snake,,,1,Moving,1:54,Head out of view,
,,,,,,,,6,Rocking,Forward-back rocking,,,1,Moving,1:56,Head out of view,
,,,,,,,,12,Escorting,Walking alongside snake,,,1,Moving,1:58,Head out of view,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,1,Moving,2:03,Head out of view,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,1,Moving,2:06,Head out of view,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,4,Scratching ,Scratch ,,,1,Moving,2:06,Head out of view,
,,,,,,,,3,Approach,Approaching snake body,,,1,Moving,2:08,Head out of view,
,,,,,,,,12,Escorting,Walking alongside snake,,,1,Moving,2:11,Tail of snake passing prairie dog; snake head out of view,
,,,,,,,,12,Escorting,Catching up to snake!,,,1,Moving,2:21,Head out of view,
,,,,,,,,6,Rocking,Forward-back rocking,,,1,Moving,2:25,At tail of snake; snake head out of view,
,,,,,,,,4,Scratching ,Scratch ,,,1,Moving,2:26,Head out of view,
,,,,,,,,1,Posting ,Posting,,,1,Moving,2:34,Head out of view,
7/12/2021,8:02 PM,2,2,4624,White patches R &L side of mouth (upper lip),,,,NA,Snake leaving,,,,,,,
7/12/2021,8:03 PM,2,3,4625,White patches R &L side of mouth (upper lip),,,,NA,Snake moving farther away,,,,,,,
7/12/2021,8:03 PM,2,4,4626,White patches R &L side of mouth (upper lip),,,,NA,Going into a burrow,,,,,0:00,,
,,,,,,,,,,Out of film view ,,,,,0:05,Snake gone,
7/13/2021,6:30 AM,3,1,4723,"Mark under right eye, whithish mustache",F,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,7,Half coil + tongue flicking,0:00,Facing snake head,
,,,,,,,,1,Posting ,Post,,,7,Half coil + tongue flicking,0:02,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,2,Moving + tongue flicking,0:06,,
,,,,,,,,,,,,,8,Tongue flicking,0:08,,
,,,,,,,,1,Posting ,Post,,,8,Tongue flicking,0:15,,
,,,,,,,,,,Out of film view ,,,2,Moving + tongue flicking,0:20,,
,,,,,,,,6,Rocking,Forward-back rocking,,,2,Moving + tongue flicking,0:32,,
,,,,,,,,10,Retreat,Startled retreat,,,2,Moving + tongue flicking,0:33,,
,,,,,,,,1,Posting,Posting,,,2,Moving + tongue flicking,0:36,Mouth moving ,
,,,,,,,,,,Out of film view ,,,2,Moving + tongue flicking,0:37,,
7/13/2021,6:32 AM,3,2,4724,"Mark under right eye, whithish mustache",F,,3,Approach,Approach,,,1,Moving,0:00,Snake head out of view,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,1,Moving,0:03,Prairie dog at snake body; snake head out of view,
,,,,,,,,1,Posting ,Posting ,,,1,Moving,0:06,Snake head out of view,
,,,,,,,,3,Approach,Approach,,,1,Moving,0:11,Snake head out of view,
,,,,,,,,10,Retreat,Startled retreat,,,1,Moving,0:13,Looked like she was going to touch the tail and changed her mind. ,
,,,,,,,,1,Posting ,Post leaning forward,,,1,Moving,0:14,,
,,,,,,,,3,Approach,Approach/Retreat - hit snake tail,,,9,Coiled strike + tongue flicking,0:15,Snake turned head around and coiled up,
,,,,,,,,17,Strike,,,,,,,,
,,,,,,,,10,Retreat,,,,,,,,
,,,,,,,,,NA,Out of film view ,,,9,Coiled strike + tongue flicking,0:17,,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,9,Coiled strike + tongue flicking,0:26,had been upright,
,,,,,,,,,NA,Out of film view ,,,9,Coiled strike + tongue flicking,0:29,,
,,,,,,,,,,,,,7,Half coil + tongue flicking,0:32,,
,,,,,,,,,,,,,10,Coiled resting + tongue flicking,0:37,,
,,,,,,,,1,Posting ,Posting,,,10,Coiled resting + tongue flicking,0:43,,
7/13/2021,6:33 AM,3,3,4726,"Mark under right eye, whithish mustache",F,,16,Foraging,Feeding ,,,,Snake coiled in vegetation,0:00,,
7/13/2021,8:42,4,1,4746,Line next R eye,F,,,,,,,9,Coiled strike + tongue flicking,0:00,,
,,,,,,,,1,Posting ,Post leaning forward,,,NA,Out of view,0:02,,
,,,,,,,,,NA,Out of film view ,,,11,Coiled resting,0:07,,
,,,,,,,,2,Jump yip,Jump yip,,,NA,Out of view,0:09,,
,,,,,,,,,Observing,Looking at snake,,,NA,Out of view,0:11,,
,,,,,,,,2,Jump yip,Jump yip,,,NA,Out of view,0:15,,
,,,,,,,,2,Jump yip,half-jump yip ,,,NA,Out of view,0:19,turned away,
,,,,,,,,16,Foraging,Feeding ,,,11,Coiled resting,0:20,,
,,,,,,,,,NA,Out of film view ,,,11,Coiled resting,0:22,,
,,,,,,,,16,Foraging,Feeding ,,,NA,Out of view,0:32,Bald spot on back near tail. ,
,,,,,,,,,NA,Out of film view ,,,11,Coiled resting,0:40,,
,,,,,,,,16,Foraging,Feeding ,,,11,Coiled resting,0:58,,
7/13/2021,8:47 AM,5,1,4756,Line next R eye,F,,,,Feeding ,,,,Out of view,0:00,Bald spot on back near tail. Snake coiled and visible. ,
,,,,,,,,,,Out of film view ,,,,Snake coiled,0:36,,
7/13/2021,8:49 AM,5,2,4757,Line next R eye,F,,3,Approach,Aproach-startled,,,11,Coiled resting,0:00,,
,,,,,,,,9,Approach + Sniffing,Approach/Retreat - sniffing,,,11,Coiled resting,0:06,,
,,,,,,,,10,Retreat,,,,11,Coiled resting,,,
,,,,,,,,10,Retreat,Turns away,,,11,Coiled resting,0:15,,
,,,,,,,,16,Foraging,Feeding ,,,11,Coiled resting,0:16,,
7/13/2021,8:51 AM,5,3,4766,Line next R eye,F,,1,Posting,Post,,,11,Coiled resting,0:00,,
,,,,,,,,,NA,Out of film view ,,,11,Coiled resting,0:05,,
,,,,,,,,16,Foraging,Feeding ,,,NA,Out of view,0:26,,
7/13/2021,8:51,5,4,4767,Funny long bulbous nose and small line behind left eye,F (see below),,3,Approach,Approach,,,NA,Out of view,0:00,Line next to R eye feeding ,
,,,,,,,,10,Retreat,Startled ,,,NA,Out of view,0:23,,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,NA,Out of view,0:24,,
,,,,,,,,7,Sniffing,Sniffing edge of burrow,,,NA,Out of view,0:33,,
,,,,,,,,7,Sniffing,Sniffing inside of burrow,,,NA,Out of view,0:40,,
,,,,,,,,,Touching face,Swipe at face,,,NA,Out of view,0:45,,
,,,,,,,,7,Sniffing,Sniffing inside of burrow,,,NA,Out of view,0:47,Doing a weird motion with right front leg as sniffing inside the burrow,
,,,,,,,,12,Investigating,In burrow,,,NA,Out of view,0:59,,
,,,,,,,,,Touching face,Swipe at face,,,NA,Out of view,1:03,Out of burrow- big bulbous nose wiggle,
,,,,,,,,,NA,Out of film view ,,,11,Coiled resting,1:06,,
,,,,,,,,12,Investigating,Going into burrow,,,NA,Out of view,1:09,,
,,,,,,,,12,Investigating,Out of burrow,,,NA,Out of view,1:20,,
,,,,,,,,3,Approach,Approach,,,NA,Out of view,1:22,,
,,,,,,,,10,Retreat,Startled retreat,,,11,Coiled resting,1:28,Got close to snake and realized it was there. ,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,1:30,,
,,,,,,,,10,Retreat,Startled retreat,,,11,Coiled resting,1:33,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,1:34,,
,,,,,,,,10,Retreat,Startled retreat,,,11,Coiled resting,1:36,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,1:38,,
,,,,,,,,10,Retreat,Startled retreat,,,11,Coiled resting,1:40,Line next to R eye posting just behind,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,1:41,,
,,,,,,,,2,Jump yip,Jump yip,,,11,Coiled resting,1:46,,
,,,,,,,,3,Approach,Approach,,,11,Coiled resting,1:48,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,1:49,,
,,,,,,,,10,Retreat,Retreat,,,11,Coiled resting,1:52,Squeak,
,,,,,,,,2,Jump yip,Jump yip,,,NA,Out of view,1:52,Facing Line next to R eye,
,,,,,,,,2,Jump yip,Jump Yip,,,NA,Out of view,1:53,Line next to R eye posting  and no jump yip in response.,
,,,,,,,,22,Greet-kiss,Greet Kiss,,,NA,Out of view,1:54,Line next to R eye ,
,,,,,,,,10,Retreat,Moving ,,,NA,Out of view,1:58,Past Line next to R eye,
,,,,,,,,16,Foraging,Feeding ,,,NA,Out of view,2:06,,
,,,,,,,,,,,,,11,Coiled resting,2:12,,
,,,,,,,,,,,,,NA,Out of view,2:17,,
,,,,,,,,10,Retreat,Moving away ,,,11,Coiled resting,2:29,Went behind snake,
,,,,,Line next R eye,F,,3,Approach,Approach burrow,,,NA,Out of view,2:38,,
,,,,,,,,7,Sniffing,Sniffing edge of burrow,,,NA,Out of view,2:43,,
,,,,,,,,7,Sniffing,Sniffing inside of burrow,,,NA,Out of view,3:00,,
,,,,,,,,,NA,Out of film view ,,,NA,Out of view,3:08,,
,,,,,,,,12,Investigating,On burrow,,,NA,Out of view,3:13,,
,,,,,,,,7,Sniffing,Sniffing,,,NA,Out of view,3:16,,
7/13/2021,8:55,5,5,4768,Funny long bulbous nose and small line behind left eye,F,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,Out of view,0:00,toward snake,
,,,,,,,,,,,,,11,Coiled resting,0:06,,
,,,,,,,,2,Jump yip,2 jump yips,,,NA,Out of view,0:09,away from snake,
,,,,,,,,3,Approach,Approach,,,NA,Out of view,0:10,,
,,,,,,,,,,,,,11,Coiled resting,0:15,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,0:19,Snake coiled and pdog facing head,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,11,Coiled resting,0:24,Slight,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,11,Coiled resting,0:24,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,11,Coiled resting,0:27,Slight,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,4,Scratching ,Scratch ,,,11,Coiled resting,0:27,Back L leg- snake started to move toward prairie dog right after scratching,
,,,,,,,,,,,,,12,Head raise + tongue flicking,0:29,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,3,Moving + head raise + tongue flicking,0:30,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,3,Moving + head raise + tongue flicking,0:33,Slight,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,3,Moving + head raise + tongue flicking,0:34,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,3,Moving + head raise + tongue flicking,0:36,Slight- snake continuing to move in direction of prairie dog. ,
,,,,,,,,4,Scratching ,Scratching ,,,,,,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,3,Moving + head raise + tongue flicking,0:37,,
,,,,,,,,,,,,,2,Moving + tongue flicking,0:39,,
,,,,,,,,10,Retreat,Retreat,,,2,Moving + tongue flicking,0:40,,
,,,,,,,,2,Jump yip,Jump yip x2,,,2,Moving + tongue flicking,0:40,,
,,,,,,,,3,Approach,Approach,,,2,Moving + tongue flicking,0:42,,
,,,,,,,,10,Retreat,Startled ,,,2,Moving + tongue flicking,0:45,,
,,,,,,,,6,Rocking  ,Forward-back rocking,,,2,Moving + tongue flicking,0:46,,
,,,,,,,,2,Jump yip,Jump yip x4,,,2,Moving + tongue flicking,0:48,Hear other jump yips (x1),
,,,,,,,,3,Approach,Approach,,,2,Moving + tongue flicking,0:50,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,2,Moving + tongue flicking,1:00,At snake tail,
,,,,,,,,3,Approach,Approaching snake body,,,2,Moving + tongue flicking,1:04,,
,,,,,,,,10,Retreat,Retreat,,,2,Moving + tongue flicking,1:07,,
,,,,,,,,3,Approach,Approach,,,2,Moving + tongue flicking,1:09,Tail of snake passing prairie dog,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,2,Moving + tongue flicking,1:12,Tail of snake passing prairie dog,
,,,,,,,,17,Strike,Hit tail of snake,,,2,Moving + tongue flicking,1:14,,
,,,,,,,,10,Retreat,Lept and twisted backward,,,9,Coiled strike + tongue flicking,1:15,,
,,,,,,,,3,Approach,Approaching snake head,,,9,Coiled strike + tongue flicking,1:16,,
,,,,,,,,10,Retreat,Retreat,,,9,Coiled strike + tongue flicking,1:18,,
,,,,,,,,2,Jump yip,Jump yip x2,,,9,Coiled strike + tongue flicking,1:18,Prairie dog fell backwards,
,,,,,,,,3,Approach,Approaching snake body,,,7,Half coil + tongue flicking,1:21,Stiff walking,
